id;name;type;description;created_at;created_by;icon;version;category;rate;aie_metadata;user_id;is_public;organization_name;tenant_id
964e1c5f-63b4-4c00-bce3-4350c34f3605;boohoo scotch;helplessly boastfully;carboxyl voluntarily lawful;2024-11-26T01:25:44;ugh hidden drug;blah violent demonstrate;velocity;towards intermesh;10123.97;failing apropos;happily within subexpression;false;hungrily teriyaki readily;hierarchy loudly
8c90e20c-9606-48e9-bd22-41b76da77acb;facilitate;throughout glittering because;at nightlife;2024-11-26T05:08:58;pish;singe competent;aha colorfully;speedy homely;10707.19;windy embed hmph;below ha ick;false;microchip;trolley readily
cdb404ae-860a-4fe1-b547-797ec480076e;impanel hoarse quarrelsomely;cruelly merit scarification;selfishly;2024-11-26T05:03:00;ah;inasmuch deliberately miserably;till oof pertain;e-mail;31774.19;but;immediately;false;inasmuch neglect oh;where demob
22c8b1ad-f7bf-47d9-b203-0806b2edd4cf;ha;multicolored;whose;2024-11-25T21:54:26;mixture chatter swing;yuck;willfully yuck;ew boo;18713.57;rule reach;hmph;false;ew crossly;tomb
bba8cc12-272f-45bf-86fc-409d787fa5fd;elver;the draft overspend;bah;2024-11-25T20:00:53;boohoo whenever;ew;gah supposing gloom;forenenst;30226.73;why shameful;mmm;false;syringe;rekindle eminent spring
60f0deb4-f106-4680-8aef-e98751ada008;hovel loosely;ruddy;remarkable finally underneath;2024-11-25T17:39:07;phooey hmph hoick;psst;joyful curiously pace;via mmm unaccountably;14853.79;below;urgently wisely;true;ouch;mixture geez
63b7c183-3876-4648-8147-32089d69147b;past whereas;mealy;galvanize unlined;2024-11-25T19:21:51;co-producer;subtle filthy obediently;aboard over boggle;hmph;21363.1;pish well-made;moment deficient;true;planula unlike wherever;forenenst bran lovely
9882d7fd-fcb5-461e-843e-589c4220d999;rationalise sociable;quickly;crossly;2024-11-25T18:27:50;forecast gadzooks as;into ride;um;on;4481.35;liberalize hollow brr;gosh boo quantify;false;unabashedly generally appropriate;gosh
35a7e02a-00fd-44d4-8b18-3da9294b34de;prance given nutritious;dramatic different;pop lovingly lashes;2024-11-25T17:10:27;while zowie;yearningly;acidly while obvious;nor save;16491.9;clone;pulse after;true;futon;mmm quickly
0de0b447-bdf4-4b7a-b0b0-314dc92a7148;so revere;zebra sequester atomize;youthfully;2024-11-25T23:40:42;staid;except definitive;unless repeat;humor uproot;2877.15;plumber sushi;meh pish interestingly;true;shakily;bashfully
